,Predicted Labels,Actual Labels
52,0,0
64,0,1
630,0,1
707,0,0
330,0,0
358,0,0
712,1,1
740,1,1
418,0,0
389,0,0
437,0,0
21,0,0
164,0,1
206,1,1
480,1,1
247,1,0
115,0,1
158,0,0
380,0,0
399,1,1
700,0,0
139,0,0
736,0,0
351,0,0
279,0,0
99,0,1
578,0,0
580,1,1
73,0,0
151,0,0
724,0,0
713,0,0
309,0,1
62,0,0
203,0,0
734,0,0
42,0,0
767,0,0
348,0,0
629,0,0
412,1,0
304,0,0
674,0,0
441,0,0
43,1,1
124,0,1
78,0,1
603,1,1
185,1,1
83,0,0
345,1,0
617,0,0
156,0,0
554,0,0
560,0,1
336,0,0
738,0,0
332,1,1
17,0,1
658,1,0
224,0,0
359,1,1
392,0,0
75,0,0
640,0,0
407,0,0
243,0,1
763,0,0
116,0,1
86,0,0
730,0,1
541,0,1
701,0,1
215,1,1
402,0,1
335,1,0
82,0,0
727,0,0
415,1,1
421,0,0
628,0,0
397,0,1
532,0,0
645,1,0
229,0,0
366,0,1
606,1,1
766,0,1
347,0,0
262,0,0
350,0,0
672,0,0
54,1,0
570,0,0
245,1,1
198,0,1
517,1,0
381,0,0
175,1,1
742,0,0
749,0,1
452,0,0
579,1,1
235,1,1
489,1,0
539,0,1
264,0,1
59,0,0
252,0,0
471,0,0
14,1,1
25,0,1
268,0,0
678,0,1
589,0,0
410,0,0
598,1,1
430,0,0
644,0,0
293,0,1
756,0,0
584,0,1
425,1,1
363,1,1
93,0,1
416,0,0
13,1,1
346,0,0
31,1,1
38,0,1
440,1,1
496,0,0
187,0,1
761,1,1
653,0,0
618,0,1
445,1,1
447,0,0
19,0,1
286,1,0
163,0,0
44,1,0
97,0,0
417,1,1
275,0,0
661,1,1
32,0,0
501,0,0
6,0,1
436,1,0
697,0,0
456,0,0
433,0,0
422,0,0
527,0,0
463,0,0
199,1,1
484,1,1
488,0,0
698,0,0
543,0,0
696,1,1
563,0,0
593,0,0
635,0,1
699,1,0
609,0,0
684,0,0
533,0,0
652,0,0
373,0,0
385,0,0
765,0,0
486,1,0
212,1,0
273,0,0
717,0,0
743,1,1
190,0,0
615,0,0
367,0,0
140,0,0
87,0,0
144,1,0
261,0,1
102,0,0
258,1,0
660,1,0
680,0,0
530,0,0
10,0,0
311,0,0
89,0,0
81,0,0
576,0,0
205,0,0
476,0,1
217,0,0
94,0,0
274,0,0
310,0,0
296,0,1
467,0,0
329,0,0
408,1,1
307,0,0
513,0,0
244,1,0
162,0,0
153,1,0
305,0,0
276,0,1
481,0,0
148,1,0
298,1,1
221,1,1
24,1,1
469,1,0
355,1,1
66,0,1
537,0,0
259,1,1
531,0,0
98,0,0
558,1,0
746,1,1
260,1,0
3,0,0
428,0,0
512,0,0
387,0,1
424,1,1
637,0,0
650,0,0
511,0,0
535,0,1
722,0,1
477,0,0
745,0,0
502,1,1
300,1,1
419,0,1
340,0,0
71,0,0
525,0,0
85,0,0
127,0,0
494,0,0
219,0,1
80,0,0
238,1,1
33,0,0
596,0,0
88,1,1
679,0,0
112,0,0
